MATCH_ID;TEAM;POSSESSION_1H;POSSESSION_2H;TERRITORY_1H;TERRITORY_2H;CLEAN_BREAKS;DEFENDERS_BEATEN;OFFLOAD;RUCK_WON_NB;RUCK_WON_PCT;MAUL_WON_NB;MAUL_WON_PCT;TURNOVERS_CONDEDED;SCRUM_WON_NB;SCRUM_WON_PCT;LINEOUT_WON_NB;LINEOUT_WON_PCT
FR270559593405;Bayonne;43.0;37.0;40.0;31.0;1;8;5;40;86.0;2;50.0;9;4;44.0;10;66.0
FR270559593405;Stade Francais Paris;57.0;63.0;60.0;69.0;5;19;7;75;93.0;4;80.0;17;5;83.0;18;100.0
FR270559593406;Castres Olympique;70.0;38.0;78.0;34.0;13;20;6;80;98.0;6;100.0;7;1;100.0;14;87.0
FR270559593406;Toulon;30.0;62.0;22.0;66.0;6;10;5;63;95.0;4;100.0;9;5;83.0;7;100.0
FR270559593407;Clermont Auvergne;59.0;50.0;61.0;50.0;7;25;6;73;93.0;5;100.0;15;5;100.0;10;90.0
FR270559593407;La Rochelle;41.0;50.0;39.0;50.0;6;20;6;63;95.0;5;100.0;18;5;71.0;11;64.0
FR270559593408;Lyon;57.0;34.0;62.0;31.0;26;22;19;55;98.0;4;100.0;18;5;100.0;10;66.0
FR270559593408;Agen;42.0;66.0;38.0;69.0;13;17;16;68;91.0;2;66.0;15;13;100.0;12;75.0
FR270559593409;Pau;65.0;59.0;70.0;56.0;15;31;13;83;97.0;6;75.0;13;5;71.0;11;100.0
FR270559593409;Montpellier Herault;35.0;41.0;30.0;44.0;8;25;9;56;100.0;2;40.0;11;3;75.0;8;61.0
FR270559593410;Racing 92;48.0;66.0;44.0;70.0;18;31;10;74;94.0;6;85.0;13;1;33.0;11;91.0
FR270559593410;Brive;52.0;34.0;56.0;30.0;1;15;6;50;89.0;2;50.0;9;7;77.0;10;83.0
FR270559593411;Bordeaux Begles;53.0;72.0;60.0;79.0;3;23;10;108;96.0;7;87.0;20;6;100.0;15;93.0
FR270559593411;Stade Toulousain;47.0;28.0;40.0;21.0;5;26;9;57;96.0;1;50.0;11;9;81.0;6;54.0
FR270559593405;Bayonne;43.0;37.0;40.0;31.0;1;8;5;40;86.0;2;50.0;9;4;44.0;10;66.0
FR270559593405;Stade Francais Paris;57.0;63.0;60.0;69.0;5;19;7;75;93.0;4;80.0;17;5;83.0;18;100.0
FR270559593406;Castres Olympique;70.0;38.0;78.0;34.0;13;20;6;80;98.0;6;100.0;7;1;100.0;14;87.0
FR270559593406;Toulon;30.0;62.0;22.0;66.0;6;10;5;63;95.0;4;100.0;9;5;83.0;7;100.0
FR270559593407;Clermont Auvergne;59.0;50.0;61.0;50.0;7;25;6;73;93.0;5;100.0;15;5;100.0;10;90.0
FR270559593407;La Rochelle;41.0;50.0;39.0;50.0;6;20;6;63;95.0;5;100.0;18;5;71.0;11;64.0
FR270559593408;Lyon;57.0;34.0;62.0;31.0;26;22;19;55;98.0;4;100.0;18;5;100.0;10;66.0
FR270559593408;Agen;42.0;66.0;38.0;69.0;13;17;16;68;91.0;2;66.0;15;13;100.0;12;75.0
FR270559593409;Pau;65.0;59.0;70.0;56.0;15;31;13;83;97.0;6;75.0;13;5;71.0;11;100.0
FR270559593409;Montpellier Herault;35.0;41.0;30.0;44.0;8;25;9;56;100.0;2;40.0;11;3;75.0;8;61.0
FR270559593410;Racing 92;48.0;66.0;44.0;70.0;18;31;10;74;94.0;6;85.0;13;1;33.0;11;91.0
FR270559593410;Brive;52.0;34.0;56.0;30.0;1;15;6;50;89.0;2;50.0;9;7;77.0;10;83.0
FR270559593411;Bordeaux Begles;53.0;72.0;60.0;79.0;3;23;10;108;96.0;7;87.0;20;6;100.0;15;93.0
FR270559593411;Stade Toulousain;47.0;28.0;40.0;21.0;5;26;9;57;96.0;1;50.0;11;9;81.0;6;54.0
FR270559593403;Stade Francais Paris;46.0;40.0;45.0;37.0;10;15;8;63;98.0;3;60.0;16;4;100.0;7;100.0
FR270559593403;Lyon;54.0;60.0;55.0;63.0;12;30;7;76;92.0;5;100.0;12;3;50.0;13;86.0
FR270559593398;Toulon;51.0;32.0;49.0;29.0;10;16;8;52;92.0;3;100.0;11;5;100.0;12;85.0
FR270559593398;Bordeaux Begles;49.0;68.0;51.0;71.0;4;19;8;77;96.0;5;71.0;15;6;100.0;15;100.0
FR270559593399;Agen;34.0;56.0;28.0;61.0;4;10;6;49;92.0;3;60.0;14;4;50.0;10;100.0
FR270559593399;Racing 92;66.0;44.0;72.0;39.0;9;27;16;60;96.0;10;100.0;14;11;91.0;11;100.0
FR270559593400;Brive;60.0;57.0;60.0;49.0;10;26;13;89;93.0;5;71.0;16;1;100.0;13;86.0
FR270559593400;Castres Olympique;40.0;43.0;40.0;51.0;14;21;7;57;91.0;1;50.0;10;6;100.0;7;87.0
FR270559593401;La Rochelle;60.0;51.0;63.0;56.0;16;25;9;78;97.0;4;80.0;13;7;100.0;15;93.0
FR270559593401;Pau;40.0;49.0;37.0;44.0;6;12;9;67;94.0;0;0.0;15;4;80.0;6;100.0
FR270559593402;Montpellier Herault;60.0;26.0;63.0;16.0;4;13;7;45;86.0;5;100.0;19;7;87.0;19;90.0
FR270559593402;Bayonne;40.0;74.0;37.0;84.0;11;17;7;97;96.0;8;88.0;21;4;80.0;10;100.0
FR270559593404;Stade Toulousain;54.0;47.0;54.0;40.0;5;29;13;90;95.0;3;75.0;7;5;83.0;9;90.0
FR270559593404;Clermont Auvergne;46.0;53.0;46.0;60.0;6;20;1;79;90.0;7;100.0;18;3;100.0;14;93.0
FR270559593395;Pau;52.0;52.0;51.0;50.0;4;10;3;67;94.0;2;66.0;9;6;85.0;10;76.0
FR270559593395;Racing 92;48.0;48.0;49.0;50.0;12;33;3;55;93.0;8;88.0;13;2;40.0;10;90.0
FR270559593391;Bordeaux Begles;50.0;77.0;50.0;78.0;1;17;6;64;95.0;7;100.0;18;6;85.0;14;100.0
FR270559593391;Castres Olympique;50.0;23.0;50.0;22.0;3;5;2;38;95.0;0;0.0;14;7;87.0;4;36.0
FR270559593392;La Rochelle;45.0;69.0;51.0;79.0;15;33;8;70;97.0;7;100.0;17;10;100.0;9;81.0
FR270559593392;Agen;55.0;31.0;49.0;21.0;1;4;5;46;93.0;5;55.0;17;6;75.0;16;94.0
FR270559593393;Lyon;84.0;46.0;92.0;40.0;1;22;9;96;96.0;6;85.0;12;11;100.0;19;86.0
FR270559593393;Brive;16.0;54.0;8.0;60.0;4;12;4;56;96.0;4;100.0;9;4;57.0;11;84.0
FR270559593394;Stade Francais Paris;59.0;63.0;69.0;67.0;16;22;13;69;95.0;3;60.0;17;6;100.0;13;76.0
FR270559593394;Montpellier Herault;41.0;37.0;31.0;33.0;3;6;0;48;97.0;2;100.0;8;6;60.0;6;54.0
FR270559593396;Stade Toulousain;51.0;69.0;50.0;64.0;2;24;9;79;92.0;5;83.0;17;3;100.0;18;90.0
FR270559593396;Bayonne;49.0;31.0;50.0;36.0;7;16;6;59;95.0;3;60.0;9;6;100.0;8;88.0
FR270559593397;Clermont Auvergne;59.0;64.0;56.0;65.0;5;35;7;79;95.0;2;66.0;12;4;80.0;14;82.0
FR270559593397;Toulon;41.0;36.0;44.0;35.0;4;19;8;53;94.0;3;75.0;12;5;100.0;12;92.0
FR270559593388;Castres Olympique;41.0;44.0;40.0;46.0;9;17;6;55;93.0;3;100.0;10;5;83.0;7;77.0
FR270559593388;Lyon;59.0;56.0;60.0;54.0;7;25;2;77;93.0;2;100.0;13;10;100.0;6;85.0
FR270559593384;Racing 92;40.0;39.0;38.0;44.0;17;20;11;45;95.0;4;80.0;11;10;83.0;10;83.0
FR270559593384;Clermont Auvergne;60.0;61.0;62.0;56.0;11;30;4;90;93.0;3;75.0;19;6;100.0;13;76.0
FR270559593385;Agen;47.0;45.0;44.0;47.0;7;12;9;49;96.0;6;75.0;18;8;88.0;13;81.0
FR270559593385;Pau;53.0;55.0;56.0;53.0;23;30;17;54;98.0;2;100.0;18;8;100.0;11;78.0
FR270559593386;Bayonne;57.0;55.0;62.0;55.0;6;24;6;84;97.0;6;85.0;14;6;100.0;13;81.0
FR270559593386;Bordeaux Begles;43.0;45.0;38.0;45.0;8;26;21;52;92.0;3;75.0;8;6;100.0;10;100.0
FR270559593387;Brive;43.0;83.0;42.0;81.0;12;28;17;117;94.0;3;100.0;16;1;33.0;8;72.0
FR270559593387;Stade Francais Paris;57.0;17.0;58.0;19.0;7;14;11;61;91.0;5;100.0;11;2;66.0;8;72.0
FR270559593389;Montpellier Herault;33.0;56.0;23.0;58.0;7;8;11;62;95.0;7;100.0;9;4;80.0;13;100.0
FR270559593389;La Rochelle;67.0;44.0;77.0;42.0;4;13;3;81;95.0;6;100.0;12;4;100.0;18;90.0
FR270559593390;Toulon;46.0;46.0;41.0;46.0;13;18;7;55;98.0;3;100.0;15;7;70.0;12;100.0
FR270559593390;Stade Toulousain;54.0;54.0;59.0;54.0;10;24;14;85;93.0;2;50.0;22;6;100.0;11;91.0
FR270559593377;Lyon;54.0;38.0;56.0;39.0;9;29;12;52;91.0;6;85.0;13;5;100.0;10;90.0
FR270559593377;Clermont Auvergne;46.0;62.0;44.0;61.0;8;18;7;73;94.0;6;100.0;14;4;100.0;11;100.0
FR270559593382;Stade Francais Paris;39.0;50.0;33.0;50.0;14;40;10;67;95.0;0;0.0;10;6;85.0;11;91.0
FR270559593382;Pau;61.0;50.0;67.0;50.0;7;28;10;94;95.0;6;100.0;13;7;100.0;16;94.0
FR270559593378;Stade Toulousain;52.0;33.0;50.0;33.0;15;20;16;51;91.0;6;100.0;16;6;100.0;14;77.0
FR270559593378;Racing 92;48.0;67.0;50.0;67.0;13;32;11;83;92.0;2;50.0;16;7;100.0;12;92.0
FR270559593379;Bayonne;58.0;80.0;57.0;81.0;1;10;6;106;96.0;11;91.0;12;5;83.0;12;92.0
FR270559593379;Castres Olympique;42.0;20.0;43.0;19.0;5;13;5;42;97.0;8;72.0;14;5;83.0;10;66.0
FR270559593383;Toulon;68.0;79.0;78.0;89.0;4;30;13;125;97.0;4;66.0;9;10;100.0;9;64.0
FR270559593383;Agen;32.0;21.0;22.0;11.0;0;4;4;26;89.0;7;87.0;17;3;60.0;12;85.0
FR270559593381;Brive;58.0;100.0;54.0;0.0;6;19;7;87;94.0;8;80.0;17;4;66.0;13;92.0
FR270559593381;La Rochelle;42.0;0.0;46.0;0.0;0;18;4;70;97.0;2;100.0;17;5;100.0;8;72.0
FR270559593380;Bordeaux Begles;55.0;77.0;58.0;89.0;17;23;21;95;96.0;8;88.0;13;4;100.0;19;100.0
FR270559593380;Montpellier Herault;45.0;23.0;42.0;11.0;2;16;5;53;98.0;2;100.0;6;5;62.0;4;57.0
FR270559593376;Pau;57.0;41.0;62.0;41.0;3;17;4;62;92.0;5;83.0;7;7;100.0;8;100.0
FR270559593376;Bayonne;42.0;59.0;38.0;59.0;4;4;7;73;96.0;14;100.0;9;2;100.0;12;100.0
FR270559593373;Castres Olympique;44.0;42.0;46.0;50.0;5;18;2;57;95.0;6;66.0;15;5;71.0;13;92.0
FR270559593373;Stade Toulousain;56.0;58.0;54.0;50.0;13;29;20;87;95.0;8;100.0;14;4;100.0;13;92.0
FR270559593375;La Rochelle;49.0;53.0;52.0;60.0;5;15;11;85;97.0;3;100.0;6;6;100.0;10;76.0
FR270559593375;Lyon;51.0;47.0;48.0;40.0;9;23;10;80;95.0;6;75.0;11;1;100.0;14;87.0
FR270559593370;Racing 92;54.0;72.0;56.0;79.0;12;26;8;72;88.0;6;85.0;12;2;66.0;17;73.0
FR270559593370;Stade Francais Paris;46.0;28.0;44.0;21.0;1;10;4;43;95.0;1;100.0;9;6;100.0;7;77.0
FR270559593374;Clermont Auvergne;61.0;52.0;62.0;55.0;8;16;6;83;98.0;9;100.0;11;7;100.0;15;93.0
FR270559593374;Brive;39.0;48.0;38.0;45.0;9;33;8;68;93.0;4;66.0;10;4;100.0;10;62.0
FR270559593371;Montpellier Herault;42.0;70.0;47.0;74.0;1;13;7;94;96.0;10;83.0;9;7;77.0;18;100.0
FR270559593371;Toulon;58.0;30.0;53.0;26.0;5;13;9;48;90.0;1;100.0;18;5;100.0;8;72.0
FR270559593372;Agen;48.0;36.0;53.0;25.0;3;13;6;71;98.0;2;100.0;15;5;71.0;10;76.0
FR270559593372;Bordeaux Begles;52.0;64.0;47.0;75.0;9;27;11;81;97.0;7;87.0;12;11;84.0;15;100.0
FR270559593364;Stade Francais Paris;44.0;36.0;42.0;37.0;7;13;4;48;92.0;1;25.0;16;6;85.0;4;57.0
FR270559593364;Clermont Auvergne;56.0;64.0;58.0;63.0;6;26;13;69;92.0;5;100.0;12;8;80.0;11;78.0
FR270559593365;Bayonne;54.0;49.0;56.0;53.0;4;16;8;76;98.0;6;75.0;12;13;100.0;10;83.0
FR270559593365;Racing 92;46.0;51.0;44.0;47.0;8;14;6;80;96.0;6;75.0;18;8;88.0;9;81.0
FR270559593366;Bordeaux Begles;59.0;59.0;59.0;55.0;2;14;4;70;87.0;6;85.0;17;6;100.0;18;94.0
FR270559593366;La Rochelle;41.0;41.0;41.0;45.0;10;15;8;52;94.0;3;100.0;14;9;100.0;12;75.0
FR270559593367;Brive;43.0;59.0;35.0;63.0;17;34;14;77;100.0;3;60.0;12;6;75.0;12;85.0
FR270559593367;Agen;57.0;41.0;65.0;37.0;4;15;4;82;97.0;4;50.0;9;2;50.0;15;88.0
FR270559593368;Castres Olympique;51.0;34.0;56.0;29.0;10;11;7;55;98.0;4;80.0;12;3;75.0;7;87.0
FR270559593368;Pau;49.0;66.0;44.0;71.0;5;18;5;79;96.0;3;75.0;11;8;88.0;8;80.0
FR270559593369;Stade Toulousain;54.0;58.0;51.0;58.0;7;26;11;73;89.0;6;85.0;14;5;100.0;13;92.0
FR270559593369;Montpellier Herault;46.0;42.0;49.0;42.0;1;15;3;61;93.0;2;66.0;12;5;83.0;12;85.0
FR270559593363;Lyon;67.0;44.0;73.0;42.0;14;43;13;76;95.0;5;62.0;8;3;75.0;11;100.0
FR270559593363;Toulon;33.0;56.0;27.0;58.0;2;14;5;62;89.0;5;83.0;12;4;80.0;8;80.0
FR270559593360;La Rochelle;75.0;53.0;83.0;69.0;5;18;3;86;96.0;10;100.0;15;8;88.0;16;80.0
FR270559593360;Bayonne;25.0;47.0;17.0;31.0;3;15;8;38;88.0;2;50.0;17;7;70.0;10;90.0
FR270559593357;Racing 92;58.0;58.0;58.0;62.0;10;15;3;91;97.0;1;50.0;12;4;100.0;7;63.0
FR270559593357;Bordeaux Begles;42.0;42.0;42.0;38.0;10;17;6;50;89.0;2;66.0;15;7;70.0;9;75.0
FR270559593358;Agen;32.0;39.0;30.0;35.0;0;6;6;43;97.0;5;83.0;13;7;58.0;9;81.0
FR270559593358;Stade Toulousain;68.0;61.0;70.0;65.0;16;41;17;92;97.0;3;75.0;17;4;100.0;10;76.0
FR270559593359;Clermont Auvergne;46.0;50.0;43.0;55.0;12;17;8;52;94.0;5;100.0;8;4;66.0;10;100.0
FR270559593359;Castres Olympique;54.0;50.0;57.0;45.0;2;10;5;71;97.0;4;100.0;12;3;75.0;11;68.0
FR270559593361;Montpellier Herault;42.0;49.0;40.0;45.0;2;10;4;63;94.0;7;87.0;13;6;85.0;11;73.0
FR270559593361;Lyon;58.0;51.0;60.0;55.0;7;18;8;85;100.0;6;85.0;10;7;87.0;10;83.0
FR270559593362;Pau;55.0;53.0;55.0;53.0;5;20;6;79;96.0;8;80.0;10;9;90.0;13;100.0
FR270559593362;Brive;45.0;47.0;45.0;47.0;11;13;11;76;97.0;4;100.0;8;4;80.0;9;56.0
FR270559593356;Toulon;35.0;45.0;30.0;51.0;11;16;13;55;98.0;5;83.0;15;4;100.0;12;75.0
FR270559593356;Stade Francais Paris;65.0;55.0;70.0;49.0;5;15;4;87;93.0;4;80.0;11;6;100.0;10;76.0
FR270559593350;Montpellier Herault;59.0;35.0;66.0;30.0;6;14;6;74;94.0;5;100.0;11;4;66.0;12;92.0
FR270559593350;Clermont Auvergne;41.0;65.0;34.0;70.0;9;19;12;87;93.0;2;66.0;19;3;60.0;12;85.0
FR270559593355;Stade Toulousain;74.0;65.0;79.0;66.0;10;36;17;96;96.0;10;100.0;9;4;100.0;16;94.0
FR270559593355;Brive;26.0;35.0;21.0;34.0;12;20;5;36;94.0;3;100.0;11;6;85.0;10;71.0
FR270559593351;Bayonne;30.0;56.0;28.0;47.0;2;13;2;64;94.0;6;85.0;15;4;100.0;8;88.0
FR270559593351;Lyon;70.0;44.0;72.0;53.0;11;32;14;79;96.0;8;100.0;13;6;66.0;12;80.0
FR270559593352;Bordeaux Begles;55.0;41.0;51.0;46.0;13;23;6;72;98.0;6;100.0;10;4;66.0;7;70.0
FR270559593352;Pau;45.0;59.0;49.0;54.0;5;11;9;78;95.0;5;83.0;9;7;70.0;10;71.0
FR270559593353;Castres Olympique;55.0;30.0;69.0;21.0;5;8;3;47;95.0;3;60.0;9;6;85.0;12;100.0
FR270559593353;La Rochelle;45.0;70.0;31.0;79.0;13;24;14;79;94.0;1;50.0;16;8;88.0;9;75.0
FR270559593354;Stade Francais Paris;63.0;57.0;66.0;63.0;18;47;8;93;97.0;7;100.0;15;3;100.0;13;76.0
FR270559593354;Agen;37.0;43.0;34.0;37.0;11;21;9;46;92.0;5;83.0;11;7;100.0;15;83.0
FR270559593349;Toulon;45.0;48.0;40.0;42.0;3;9;7;47;94.0;7;87.0;12;7;77.0;12;100.0
FR270559593349;Racing 92;55.0;52.0;60.0;58.0;12;18;7;63;95.0;6;100.0;19;7;77.0;9;75.0
FR270559593348;Racing 92;40.0;49.0;38.0;42.0;9;18;8;70;97.0;7;100.0;21;4;100.0;12;100.0
FR270559593348;Castres Olympique;60.0;51.0;62.0;58.0;6;16;11;84;98.0;0;0.0;13;4;50.0;12;63.0
FR270559593346;La Rochelle;53.0;47.0;51.0;45.0;7;18;5;56;87.0;4;100.0;17;11;84.0;13;92.0
FR270559593346;Stade Francais Paris;47.0;53.0;49.0;55.0;3;22;5;66;98.0;6;100.0;19;4;80.0;14;100.0
FR270559593343;Agen;45.0;53.0;42.0;51.0;3;3;9;66;91.0;7;100.0;13;10;100.0;10;76.0
FR270559593343;Montpellier Herault;55.0;47.0;58.0;49.0;12;33;5;75;97.0;3;60.0;14;3;50.0;10;76.0
FR270559593344;Brive;45.0;39.0;42.0;32.0;2;19;7;70;98.0;4;100.0;11;5;62.0;6;66.0
FR270559593344;Bordeaux Begles;55.0;61.0;58.0;68.0;7;29;11;101;96.0;3;100.0;17;4;100.0;8;100.0
FR270559593345;Clermont Auvergne;64.0;55.0;74.0;59.0;23;42;20;79;97.0;4;100.0;15;8;88.0;12;85.0
FR270559593345;Bayonne;36.0;45.0;26.0;41.0;3;12;7;49;96.0;4;80.0;11;8;61.0;8;72.0
FR270559593347;Pau;45.0;60.0;51.0;58.0;7;20;9;79;91.0;5;100.0;17;9;100.0;10;100.0
FR270559593347;Toulon;55.0;40.0;49.0;42.0;8;16;5;73;96.0;4;100.0;16;1;50.0;12;70.0
FR270559593342;Lyon;45.0;32.0;42.0;28.0;13;12;7;52;100.0;4;100.0;8;7;100.0;7;58.0
FR270559593342;Stade Toulousain;55.0;68.0;58.0;72.0;18;28;18;86;93.0;4;100.0;13;5;100.0;10;83.0
FR270559593341;Stade Toulousain;57.0;37.0;49.0;33.0;15;30;6;59;89.0;6;85.0;14;11;100.0;9;69.0
FR270559593341;Pau;43.0;63.0;51.0;67.0;4;11;4;76;95.0;5;83.0;18;8;100.0;12;75.0
FR270559593335;Bordeaux Begles;74.0;40.0;70.0;39.0;11;27;9;74;97.0;6;100.0;8;5;71.0;14;82.0
FR270559593335;Stade Francais Paris;26.0;60.0;30.0;61.0;1;17;7;65;90.0;2;100.0;17;6;85.0;8;72.0
FR270559593338;Castres Olympique;32.0;65.0;23.0;70.0;10;22;8;64;96.0;6;85.0;8;4;80.0;11;84.0
FR270559593338;Montpellier Herault;68.0;35.0;77.0;30.0;7;14;4;67;95.0;2;50.0;8;2;50.0;11;91.0
FR270559593339;Racing 92;43.0;30.0;44.0;27.0;8;25;4;64;92.0;4;100.0;15;5;100.0;5;83.0
FR270559593339;Lyon;57.0;70.0;56.0;73.0;6;35;15;124;96.0;3;100.0;11;7;77.0;7;70.0
FR270559593340;Toulon;58.0;45.0;49.0;51.0;8;24;10;69;92.0;1;100.0;17;7;77.0;4;66.0
FR270559593340;La Rochelle;42.0;55.0;51.0;49.0;10;12;14;63;96.0;2;50.0;11;3;60.0;11;100.0
FR270559593337;Bayonne;42.0;70.0;33.0;77.0;4;22;4;89;95.0;8;100.0;14;5;83.0;11;100.0
FR270559593337;Brive;58.0;30.0;67.0;23.0;7;12;9;57;91.0;2;40.0;12;7;100.0;12;80.0
FR270559593336;Agen;47.0;36.0;49.0;29.0;5;13;10;60;96.0;3;75.0;21;4;100.0;13;81.0
FR270559593336;Clermont Auvergne;53.0;64.0;51.0;71.0;18;32;8;87;97.0;2;100.0;19;11;100.0;9;75.0
FR270559593333;Montpellier Herault;34.0;54.0;27.0;51.0;4;8;9;73;93.0;6;100.0;13;4;66.0;10;90.0
FR270559593333;Racing 92;66.0;46.0;73.0;49.0;5;20;8;102;98.0;7;77.0;12;2;100.0;13;65.0
FR270559593328;Clermont Auvergne;37.0;54.0;33.0;48.0;6;31;5;73;91.0;5;100.0;11;2;50.0;10;83.0
FR270559593328;Bordeaux Begles;63.0;46.0;67.0;52.0;8;31;6;92;96.0;6;85.0;10;2;50.0;13;100.0
FR270559593331;Brive;50.0;33.0;48.0;30.0;10;15;9;62;96.0;4;80.0;7;3;75.0;7;87.0
FR270559593331;Toulon;50.0;67.0;52.0;70.0;7;16;5;90;95.0;9;90.0;8;2;50.0;12;85.0
FR270559593332;Lyon;60.0;40.0;63.0;36.0;13;28;12;70;92.0;7;100.0;13;6;100.0;12;92.0
FR270559593332;Pau;40.0;60.0;37.0;64.0;6;13;2;79;96.0;7;77.0;13;5;100.0;12;85.0
FR270559593334;Stade Francais Paris;57.0;56.0;70.0;54.0;7;12;0;49;98.0;5;83.0;9;14;87.0;8;72.0
FR270559593334;Castres Olympique;43.0;44.0;30.0;46.0;1;7;3;42;97.0;6;85.0;19;3;60.0;11;64.0
FR270559593329;La Rochelle;53.0;44.0;52.0;43.0;4;15;5;82;96.0;2;66.0;10;6;100.0;8;88.0
FR270559593329;Stade Toulousain;47.0;56.0;48.0;57.0;7;20;11;82;94.0;5;62.0;16;4;100.0;14;82.0
FR270559593330;Bayonne;56.0;66.0;55.0;68.0;6;31;18;113;98.0;10;100.0;12;4;66.0;13;92.0
FR270559593330;Agen;44.0;34.0;45.0;32.0;2;9;4;61;95.0;2;66.0;12;9;90.0;7;77.0
FR270559593324;Castres Olympique;70.0;36.0;78.0;32.0;13;47;4;99;96.0;6;85.0;16;5;100.0;12;100.0
FR270559593324;Agen;30.0;64.0;22.0;68.0;2;21;7;85;97.0;2;100.0;13;10;100.0;9;81.0
FR270559593323;Brive;23.0;74.0;21.0;74.0;7;21;12;102;98.0;6;85.0;18;1;50.0;11;100.0
FR270559593323;Montpellier Herault;77.0;26.0;79.0;26.0;3;12;5;100;99.0;7;100.0;9;4;100.0;14;93.0
